lga,dwelling,median_weekly_rent_sep2025,median_weekly_rent_sep2024,yoy_growth_pct,growth_clipped_pct,uplifted_to_jun2026
Melbourne,1BR flat,570.0,550.0,3.6,3.6,585
Merri-bek,1BR flat,450.0,450.0,0.0,0.0,450
Yarra,1BR flat,525.0,500.0,5.0,5.0,545
Yarra Ranges,1BR flat,370.0,420.0,-11.9,0.0,370
Port Phillip,1BR flat,485.0,470.0,3.2,3.2,497
Stonnington,1BR flat,500.0,465.0,7.5,7.5,528
Melbourne,2BR flat,730.0,700.0,4.3,4.3,753
Merri-bek,2BR flat,540.0,540.0,0.0,0.0,540
Yarra,2BR flat,700.0,680.0,2.9,2.9,715
Yarra Ranges,2BR flat,530.0,480.0,10.4,8.0,561
Port Phillip,2BR flat,650.0,627.0,3.7,3.7,668
Stonnington,2BR flat,675.0,645.0,4.7,4.7,698
Melbourne,2BR house,678.0,660.0,2.7,2.7,692
Merri-bek,2BR house,600.0,588.0,2.0,2.0,609
Yarra,2BR house,750.0,708.0,5.9,5.9,783
Yarra Ranges,2BR house,550.0,500.0,10.0,8.0,583
Port Phillip,2BR house,750.0,750.0,0.0,0.0,750
Stonnington,2BR house,763.0,750.0,1.7,1.7,773
Melbourne,3BR house,900.0,850.0,5.9,5.9,939
Merri-bek,3BR house,695.0,650.0,6.9,6.9,731
Yarra,3BR house,995.0,950.0,4.7,4.7,1030
Yarra Ranges,3BR house,605.0,600.0,0.8,0.8,609
Port Phillip,3BR house,1040.0,998.0,4.2,4.2,1073
Stonnington,3BR house,1010.0,950.0,6.3,6.3,1057
