term,estimate,std_error,statistic,p_value,pct_difference
(Intercept),3.29392875451082,0.414737786034611,7.94219592577933,1.98632850758711e-15,2594.9
log(price_num),-0.563581501400632,0.0506421217856955,-11.1287102816419,9.0941763076179e-29,-43.1
room_typeHotel room,-1.44266424516901,0.398265032007707,-3.62237236318827,0.000291913506758126,-76.4
room_typePrivate room,-0.789590317813545,0.0598741547146715,-13.1874983718153,1.03565247844234e-39,-54.6
room_typeShared room,-1.27590405577616,0.235947819220698,-5.40756875816987,6.38860201859934e-08,-72.1
accommodates,0.036177575843426,0.0149315703833625,2.42289155893052,0.0153975222030004,3.7
bedrooms,0.0278697128326758,0.030882396085373,0.902446583342538,0.36681968491116,2.8
bathrooms_num,0.0172797837278762,0.0281107682908518,0.614703360259976,0.538750640297209,1.7
n_amenities,0.00757900181949168,0.00103583405448238,7.31681082186376,2.53933435124074e-13,0.8
superhostTRUE,0.636784956687443,0.0444569186958005,14.3236412996746,1.55744304115641e-46,89
host_tenure_years,-0.0568482010492743,0.00733661343377943,-7.74856158940205,9.29392905050619e-15,-5.5
log(review_history_years),0.377848550590358,0.0152975066504528,24.7000089115289,1.06924730860122e-134,45.9
log1p(calculated_host_listings_count),0.0297525344562114,0.0257961033657273,1.15337320658052,0.248757234004753,3
review_scores_rating,0.379887573531653,0.0471042204502825,8.06483091961189,7.33372943177552e-16,46.2
min_nights_grp2-6,-0.333360924818029,0.0337900926014778,-9.86564105490048,5.86585437378412e-23,-28.3
min_nights_grp7-27,-1.35648064956553,0.0630390955680787,-21.5180855204468,1.05426513884648e-102,-74.2
min_nights_grp28+,-1.4212690206309,0.126375602670553,-11.2463876776595,2.41272220054051e-29,-75.9
availability_365,-0.000463805819738932,0.000161146110906766,-2.87816948934793,0.00399990172489971,0
lgaBayside,-0.516954786839126,0.0858659750670415,-6.02048467318404,1.73895572685046e-09,-40.4
lgaBoroondara,-0.31145701998291,0.070447998656797,-4.42109110154061,9.82037563628086e-06,-26.8
lgaBrimbank,-0.633195951139476,0.111744968330711,-5.66643814570264,1.45796427828453e-08,-46.9
lgaCasey,-0.394496674294881,0.0938105909430086,-4.20524666063072,2.60797572144131e-05,-32.6
lgaDarebin,-0.191753714344996,0.0723461915327297,-2.65050184788574,0.00803722876425919,-17.4
lgaGlen Eira,-0.379791098773933,0.0650323101327326,-5.84003702157851,5.21892234924744e-09,-31.6
lgaHobsons Bay,-0.386898443431412,0.158528231040153,-2.44056494476001,0.0146643089393811,-32.1
lgaHume,-0.257157356477036,0.0915848786482427,-2.80785824333208,0.00498721747363787,-22.7
lgaKingston,-0.300566755996424,0.0773430549853917,-3.8861505542184,0.000101846357044795,-26
lgaMaribyrnong,-0.260094804094208,0.0651703244490508,-3.99100060177768,6.57951133914564e-05,-22.9
lgaMelton,-0.435135403443642,0.0833992838449358,-5.21749568320861,1.81358449114968e-07,-35.3
lgaMonash,-0.343985036955295,0.0713679614218848,-4.81988037912224,1.43644324866873e-06,-29.1
lgaMoonee Valley,-0.272847621755943,0.0905422349848368,-3.01348450037308,0.00258266233388117,-23.9
lgaMoreland,-0.149685894294441,0.0671184268926069,-2.23017584327396,0.0257357713104421,-13.9
lgaOther,-0.404970447185882,0.0488809081616062,-8.28483885460967,1.18269112867137e-16,-33.3
lgaPort Phillip,-0.238418717527584,0.0460076779109116,-5.18215063992697,2.19341947969779e-07,-21.2
lgaStonnington,-0.224435859907372,0.0510839229322639,-4.39347346532037,1.11553810723038e-05,-20.1
lgaWhitehorse,-0.422698064157652,0.0761378925501219,-5.5517436850434,2.82834093921978e-08,-34.5
lgaWyndham,-0.43839295661019,0.073318638402645,-5.97928393327031,2.24120615712153e-09,-35.5
lgaYarra,0.0394151129219784,0.0523336451456435,0.753150536567574,0.451359458929471,4
lgaYarra Ranges,-0.120570549364475,0.0617819581898286,-1.95154949595504,0.0509917143364159,-11.4
