"neighbourhood_cleansed","n_listings","median_price","iqr_price","median_rating","pct_superhost","median_revenue"
"Yarra Ranges",984,343,227.65,4.92,63.2,21038
"Bayside",316,325.4,300.66,4.92,36.4,5518
"Nillumbik",82,286.98,170.86,4.94,58.5,24104
"Cardinia",185,270,214.56,4.9,43.8,6324
"Yarra",1075,266,186.03,4.9,48.5,18163
"Kingston",260,262.66,214.5,4.86,37.3,7512
"Maroondah",118,258.14,169.22,4.86,43.2,6606
"Melbourne",6463,251,147.85,4.81,38.2,14098
"Port Phillip",1805,244,176.04,4.88,37.2,8232
"Frankston",207,240,232.8,4.9,49.3,10248
"Manningham",183,240,279.5,4.83,32.8,4158
"Hobsons Bay",246,239.88,217.69,4.89,43.9,6855
"Stonnington",823,236.5,163.21,4.88,41.7,10611
"Casey",317,236,263,4.89,19.9,2610
"Monash",471,226,229.75,4.82,33.3,4182
"Melton",268,225.24,220.84,4.88,21.3,1413
"Whitehorse",468,218,175.75,4.825,26.3,3594
"Boroondara",406,213.17,207.55,4.87,35.5,5033
"Glen Eira",356,208.33,178.66,4.89,43.8,5901
"Moonee Valley",354,208.25,201.45,4.865,33.6,2860
"Banyule",178,189.83,172.33,4.83,33.1,5276
"Hume",337,187,259,4.86,39.5,6804
"Darebin",363,185,202.9,4.89,38,6480
"Knox",148,185,169.52,4.84,39.9,4790
"Maribyrnong",500,180.83,202.18,4.835,36.2,6412
"Moreland",673,172.91,177.5,4.83,32.1,3942
"Whittlesea",211,163,243.13,4.905,38.9,2075
"Wyndham",648,159.25,262.88,4.81,19.8,1558
"Brimbank",327,151.8,201.51,4.83,26.3,2130
"Greater Dandenong",155,133.71,168.36,4.83,34.8,2034
