"variable","n","n_missing","complete_rate","mean","sd","min","p25","median","p75","max"
"price_num",19175,6553,0.745,317.65,654.37,7.48,158.5,243.67,348,50093.56
"price_per_person",19175,6553,0.745,92.21,314.19,2.16,51.7,70.5,97.39,25046.78
"accommodates",25728,0,1,3.77,2.42,1,2,3,5,16
"bedrooms",21049,4679,0.818,1.96,1.09,0,1,2,2,16
"bathrooms_num",25702,26,0.999,1.41,0.77,0,1,1,2,12
"n_amenities",25728,0,1,35.03,16.7,0,21,37,47,92
"minimum_nights",25719,9,1,4.5,23.92,1,1,2,3,1000
"availability_365",25728,0,1,165.98,137.29,0,10,158,308,365
"number_of_reviews",25728,0,1,39.91,78.33,0,1,10,42,3131
"number_of_reviews_ltm",25728,0,1,9.21,15.43,0,0,2,13,554
"reviews_per_month",21251,4477,0.826,1.31,1.53,0.01,0.25,0.84,1.89,55.65
"review_scores_rating",21251,4477,0.826,4.74,0.42,1,4.67,4.86,5,5
"review_scores_location",21244,4484,0.826,4.83,0.3,1,4.8,4.92,5,5
"estimated_occupancy_l365d",25728,0,1,53.08,73.77,0,0,18,78.5,255
"estimated_revenue_l365d",19175,6553,0.745,19664.72,57259.75,0,572.5,8618,26882,3623832
"host_tenure_years",25728,0,1,5.8,3.79,0,2.42,5.75,9,15.42
