scope,lga,property_type,standard_type,n_listings,share_of_scope
All entire homes with 1-3 bedrooms,All LGAs,Entire rental unit,TRUE,10868,0.655646718146718
All entire homes with 1-3 bedrooms,All LGAs,Entire loft,FALSE,106,0.00639478764478765
All entire homes with 1-3 bedrooms,All LGAs,Entire townhouse,TRUE,437,0.026363416988417
All entire homes with 1-3 bedrooms,All LGAs,Entire home,TRUE,2965,0.17887306949807
All entire homes with 1-3 bedrooms,All LGAs,Entire cottage,FALSE,146,0.00880791505791506
All entire homes with 1-3 bedrooms,All LGAs,Entire bungalow,FALSE,39,0.00235279922779923
All entire homes with 1-3 bedrooms,All LGAs,Entire villa,FALSE,32,0.00193050193050193
All entire homes with 1-3 bedrooms,All LGAs,Entire guest suite,FALSE,227,0.0136944980694981
All entire homes with 1-3 bedrooms,All LGAs,Entire condo,TRUE,625,0.0377051158301158
All entire homes with 1-3 bedrooms,All LGAs,Entire guesthouse,FALSE,366,0.0220801158301158
All entire homes with 1-3 bedrooms,All LGAs,Entire serviced apartment,FALSE,408,0.0246138996138996
All entire homes with 1-3 bedrooms,All LGAs,Farm stay,FALSE,52,0.00313706563706564
All entire homes with 1-3 bedrooms,All LGAs,Entire bed and breakfast,FALSE,1,6.03281853281853e-05
All entire homes with 1-3 bedrooms,All LGAs,Entire cabin,FALSE,87,0.00524855212355212
All entire homes with 1-3 bedrooms,All LGAs,Barn,FALSE,11,0.000663610038610039
All entire homes with 1-3 bedrooms,All LGAs,Tiny home,FALSE,80,0.00482625482625483
All entire homes with 1-3 bedrooms,All LGAs,Camper/RV,FALSE,16,0.000965250965250965
All entire homes with 1-3 bedrooms,All LGAs,Earthen home,FALSE,5,0.000301640926640927
All entire homes with 1-3 bedrooms,All LGAs,Casa particular,FALSE,2,0.000120656370656371
All entire homes with 1-3 bedrooms,All LGAs,Floor,FALSE,1,6.03281853281853e-05
All entire homes with 1-3 bedrooms,All LGAs,Entire chalet,FALSE,2,0.000120656370656371
All entire homes with 1-3 bedrooms,All LGAs,Dome,FALSE,9,0.000542953667953668
All entire homes with 1-3 bedrooms,All LGAs,Tower,FALSE,2,0.000120656370656371
All entire homes with 1-3 bedrooms,All LGAs,Entire vacation home,FALSE,25,0.00150820463320463
All entire homes with 1-3 bedrooms,All LGAs,Entire place,FALSE,14,0.000844594594594595
All entire homes with 1-3 bedrooms,All LGAs,Yurt,FALSE,3,0.000180984555984556
All entire homes with 1-3 bedrooms,All LGAs,Castle,FALSE,1,6.03281853281853e-05
All entire homes with 1-3 bedrooms,All LGAs,Room in aparthotel,FALSE,35,0.00211148648648649
All entire homes with 1-3 bedrooms,All LGAs,Tipi,FALSE,1,6.03281853281853e-05
All entire homes with 1-3 bedrooms,All LGAs,Hut,FALSE,2,0.000120656370656371
All entire homes with 1-3 bedrooms,All LGAs,Tent,FALSE,2,0.000120656370656371
All entire homes with 1-3 bedrooms,All LGAs,Religious building,FALSE,1,6.03281853281853e-05
All entire homes with 1-3 bedrooms,All LGAs,Train,FALSE,1,6.03281853281853e-05
All entire homes with 1-3 bedrooms,All LGAs,Bus,FALSE,2,0.000120656370656371
All entire homes with 1-3 bedrooms,All LGAs,Boat,FALSE,1,6.03281853281853e-05
All entire homes with 1-3 bedrooms,All LGAs,Entire home/apt,FALSE,1,6.03281853281853e-05
Excluded types within LGA,Port Phillip,All excluded types,FALSE,102,0.0477751756440281
Excluded types within LGA,Monash,All excluded types,FALSE,39,0.150579150579151
Excluded types within LGA,Yarra,All excluded types,FALSE,86,0.0644677661169415
Excluded types within LGA,Melbourne,All excluded types,FALSE,284,0.0430955993930197
Excluded types within LGA,Whitehorse,All excluded types,FALSE,34,0.0988372093023256
Excluded types within LGA,Bayside,All excluded types,FALSE,40,0.144404332129964
Excluded types within LGA,Yarra Ranges,All excluded types,FALSE,415,0.537564766839378
Excluded types within LGA,Glen Eira,All excluded types,FALSE,32,0.110344827586207
Excluded types within LGA,Darebin,All excluded types,FALSE,43,0.117486338797814
Excluded types within LGA,Nillumbik,All excluded types,FALSE,42,0.591549295774648
Excluded types within LGA,Banyule,All excluded types,FALSE,23,0.181102362204724
Excluded types within LGA,Manningham,All excluded types,FALSE,15,0.168539325842697
Excluded types within LGA,Knox,All excluded types,FALSE,28,0.378378378378378
Excluded types within LGA,Stonnington,All excluded types,FALSE,39,0.0392749244712991
Excluded types within LGA,Cardinia,All excluded types,FALSE,58,0.552380952380952
Excluded types within LGA,Frankston,All excluded types,FALSE,52,0.329113924050633
Excluded types within LGA,Boroondara,All excluded types,FALSE,25,0.0764525993883792
Excluded types within LGA,Merri-bek,All excluded types,FALSE,56,0.106261859582543
Excluded types within LGA,Hume,All excluded types,FALSE,34,0.272
Excluded types within LGA,Maroondah,All excluded types,FALSE,25,0.28735632183908
Excluded types within LGA,Moonee Valley,All excluded types,FALSE,24,0.0956175298804781
Excluded types within LGA,Kingston,All excluded types,FALSE,24,0.112676056338028
Excluded types within LGA,Hobsons Bay,All excluded types,FALSE,30,0.169491525423729
Excluded types within LGA,Greater Dandenong,All excluded types,FALSE,12,0.214285714285714
Excluded types within LGA,Maribyrnong,All excluded types,FALSE,23,0.0676470588235294
Excluded types within LGA,Brimbank,All excluded types,FALSE,21,0.173553719008264
Excluded types within LGA,Melton,All excluded types,FALSE,15,0.208333333333333
Excluded types within LGA,Wyndham,All excluded types,FALSE,20,0.149253731343284
Excluded types within LGA,Casey,All excluded types,FALSE,15,0.168539325842697
Excluded types within LGA,Whittlesea,All excluded types,FALSE,25,0.342465753424658
