term,estimate,std_error,statistic,p_value,odds_ratio
(Intercept),4.19703318998001,0.59359625229526,7.07051834264677,1.54356029290481e-12,66.489
log(price_num),-0.792885838616569,0.112826552812812,-7.02747552636861,2.10303680873696e-12,0.453
room_typeHotel room,-1.81908335729972,0.478135748576484,-3.80453325800368,0.000142071823583599,0.162
room_typePrivate room,-1.11256980899321,0.136360673627622,-8.15902253483622,3.37746635556528e-16,0.329
room_typeShared room,-1.0641690193716,0.369594348917781,-2.87928920582153,0.00398572646076365,0.345
accommodates,0.0741127947974383,0.0275948754531242,2.68574485590032,0.00723683276854022,1.077
bedrooms,0.0397419531337758,0.0559115202954653,0.71080079603915,0.477207687282211,1.041
bathrooms_num,-0.0754728375935304,0.040454360126629,-1.86562925126705,0.0620932541998128,0.927
n_amenities,0.0444393153135422,0.00243255997547394,18.2685383964209,1.47344524485348e-74,1.045
superhostTRUE,1.47719581996651,0.113234630788429,13.0454421026599,6.74645071534671e-39,4.381
host_tenure_years,-0.00922243952777804,0.011093000158767,-0.831374686359254,0.405761994642626,0.991
log1p(calculated_host_listings_count),-0.0343703122982442,0.0746205322000247,-0.460601275344868,0.645084696439327,0.966
min_nights_grp2-6,-0.0783201310053659,0.104775028654985,-0.747507607592902,0.454757212374611,0.925
min_nights_grp7-27,-1.48979038370365,0.14634364112104,-10.1800827988929,2.43354222161899e-24,0.225
min_nights_grp28+,-2.40608743939738,0.216527061180822,-11.1121788947574,1.09455618816491e-28,0.09
availability_365,-0.000650692869173647,0.000455936685729974,-1.42715620290975,0.153534875451235,0.999
lgaBayside,-0.576474080173963,0.190941990929327,-3.01910584135123,0.00253521944950718,0.562
lgaBoroondara,-0.101690499811862,0.182023207358939,-0.558667772573278,0.576388477587209,0.903
lgaBrimbank,-0.550747529789586,0.326246133683703,-1.68813503955127,0.0913853095759128,0.577
lgaCasey,-0.280114664118257,0.204406575438007,-1.37037990836655,0.170568340539093,0.756
lgaDarebin,-0.355229175363986,0.183243332668417,-1.93856535018811,0.0525542861547444,0.701
lgaGlen Eira,-0.380609325060468,0.202597689655046,-1.87864592981546,0.0602928552978799,0.683
lgaHobsons Bay,0.0198433164820589,0.269278351603353,0.073690723238265,0.941256480503244,1.02
lgaHume,-0.387363626559039,0.230722120390253,-1.67891845785674,0.0931679367248069,0.679
lgaKingston,-0.0784786582590496,0.280836568001206,-0.279446009533604,0.779902566290412,0.925
lgaMaribyrnong,-0.0925573781582292,0.162381655695703,-0.56999898025229,0.568678389735333,0.912
lgaMelton,-0.482620282498025,0.198808909250696,-2.42755862560186,0.0152008298722075,0.617
lgaMonash,-0.0154399058095818,0.199538674035431,-0.0773780114768138,0.93832283262895,0.985
lgaMoonee Valley,-0.39319457157919,0.236106787501723,-1.66532515113027,0.0958479033180505,0.675
lgaMoreland,-0.00276087746508998,0.244283013436908,-0.0113019625320901,0.990982530562725,0.997
lgaOther,-0.316142344996337,0.13770620492218,-2.29577414594349,0.0216887984364017,0.729
lgaPort Phillip,-0.297262068894348,0.136997820337863,-2.16983064519743,0.0300196778997901,0.743
lgaStonnington,0.0422817011971338,0.142734292517196,0.296226649191818,0.767056998524577,1.043
lgaWhitehorse,-0.213470166949777,0.190873135602989,-1.1183876991144,0.263401445650448,0.808
lgaWyndham,-0.517604260694092,0.156155792952875,-3.3146657636345,0.000917527609579485,0.596
lgaYarra,0.294640114475247,0.13741274317168,2.14419789369267,0.032017033789074,1.343
lgaYarra Ranges,0.0553758067133688,0.197103601099539,0.280947716857814,0.778750501160949,1.057
