term,estimate,std_error,statistic,p_value,pct_difference
(Intercept),3.33257825926778,0.416045488852347,8.01012953766338,1.1458768387519e-15,2701
log(price_num),-0.568972279824765,0.050720682037365,-11.217756878853,3.33625520945526e-29,-43.4
room_typeHotel room,-1.4379478718632,0.397133336655766,-3.6208188513512,0.000293672085311901,-76.3
room_typePrivate room,-0.790526124978013,0.0597484352965766,-13.2309092456402,5.81792620176639e-40,-54.6
room_typeShared room,-1.29327662851438,0.235538493013918,-5.49072303200121,4.00291654980496e-08,-72.6
accommodates,0.0362856262834278,0.0148983845075184,2.43554099876509,0.014869539423225,3.7
bedrooms,0.0283207312793436,0.0308946524683114,0.916687161585397,0.359306595512481,2.9
bathrooms_num,0.0188035907077473,0.0282850678341627,0.66478860216967,0.506185713772663,1.9
n_amenities,0.00755585694432245,0.00103293922913577,7.31490946533634,2.57554979099948e-13,0.8
superhostTRUE,0.632150740122679,0.0443393418498433,14.2571069787973,4.04894806487281e-46,88.2
host_tenure_years,-0.0565147530844505,0.00722415885676745,-7.82302191922434,5.15701209533656e-15,-5.5
log(listing_age_years),0.359447147080866,0.0135228090224953,26.5808048078563,1.13168337543524e-155,43.3
log1p(calculated_host_listings_count),0.0279706217567815,0.0257526634952516,1.08612539289145,0.277423519351897,2.8
review_scores_rating,0.384030769158343,0.0472574552251389,8.12635312944349,4.42398967164731e-16,46.8
min_nights_grp2-6,-0.335184148885395,0.0336047069412163,-9.97432143871162,1.97446425802759e-23,-28.5
min_nights_grp7-27,-1.36143149605131,0.0628158353943612,-21.673380406456,3.65884218328e-104,-74.4
min_nights_grp28+,-1.42852967427237,0.126238636025135,-11.3161051105459,1.09217341102936e-29,-76
availability_365,-0.000444930332209059,0.000160725312868712,-2.76826546029187,0.00563555320478274,0
lgaBayside,-0.522097989996982,0.0845466668094632,-6.17526402517555,6.60529938196458e-10,-40.7
lgaBoroondara,-0.315066465545046,0.0698139660209343,-4.51294323331482,6.39341385962191e-06,-27
lgaBrimbank,-0.634691399135306,0.111716570954574,-5.68126459407158,1.33702446286566e-08,-47
lgaCasey,-0.39132551454509,0.093174700660257,-4.1999116903201,2.67019104495574e-05,-32.4
lgaDarebin,-0.191305620633095,0.071634220697966,-2.67058982102569,0.00757181103736235,-17.4
lgaGlen Eira,-0.384097760369862,0.064701112733776,-5.93649388922103,2.91181763543518e-09,-31.9
lgaHobsons Bay,-0.388718952092103,0.157877838443521,-2.46215020375492,0.0138106815243885,-32.2
lgaHume,-0.261246375707134,0.0913701581523764,-2.85920896920697,0.00424698914346401,-23
lgaKingston,-0.301193593862806,0.0771462232432165,-3.90419104397687,9.45410798535023e-05,-26
lgaMaribyrnong,-0.262935487194833,0.0647943778591709,-4.05799848508951,4.9495088891498e-05,-23.1
lgaMelton,-0.431378206229417,0.0828093535596923,-5.20929324630536,1.89561309858876e-07,-35
lgaMonash,-0.344014979132072,0.0709853903611792,-4.84627861284831,1.25798820687329e-06,-29.1
lgaMoonee Valley,-0.279068725872273,0.090143152807434,-3.09583941964429,0.00196256613486987,-24.4
lgaMoreland,-0.153169459527254,0.0668926677439565,-2.28977950339098,0.0220341019150851,-14.2
lgaOther,-0.410109993916156,0.0486568176953761,-8.42862343533678,3.49755111307743e-17,-33.6
lgaPort Phillip,-0.238697427985058,0.045535163728473,-5.24204611206441,1.58805668838501e-07,-21.2
lgaStonnington,-0.225349662623017,0.050920831382989,-4.42549063914732,9.62233295639023e-06,-20.2
lgaWhitehorse,-0.424878541950952,0.0760894218134711,-5.58393705491044,2.35133837133246e-08,-34.6
lgaWyndham,-0.440567761317241,0.0729772750599735,-6.03705415083226,1.5695306538235e-09,-35.6
lgaYarra,0.0403317090057707,0.052104383706224,0.774055964910165,0.438897696532714,4.1
lgaYarra Ranges,-0.120067492878038,0.0614104788740256,-1.95516294742366,0.050563840406974,-11.3
