scenario,model,predictor_source,roc_auc,average_precision,brier_score,log_loss,expected_calibration_error_10_equal_width_bins,precision_top_quarter,mean_predicted_probability,observed_target_share,auc_minus_segment_rate,average_precision_minus_segment_rate,brier_minus_segment_rate,folds_auc_above_segment_rate,folds_ap_above_segment_rate,folds_brier_below_segment_rate,mean_fold_auc_difference,mean_fold_brier_difference,baseline_comparison_note
segment_rate,segment_rate_baseline,training-fold segment attainment rates,0.5810323533019487,0.28530535014818226,0.18678892380879344,0.5592714180119917,0.017782362584968944,0.28068961330662295,0.2542609048878708,0.2532920216886135,,,,,,,,,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
constant,training_prevalence_baseline,"training-fold prevalence, one value per fold",0.5,0.2532920216886135,0.19071903230794598,0.5701324595922942,,0.2532920216886135,,0.2532920216886135,,,,,,,,,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
property_only,logistic,baseline property features,0.5731491703359685,0.2846420013270038,0.18855921921309401,0.5630342607726146,0.039183297387666446,0.30082559339525283,0.24997985920059082,0.2532920216886135,-0.007883182965980229,-0.0006633488211784666,0.0017702954043005703,1.0,1.0,2.0,-0.021002972442762214,0.0018248347625020866,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
property_only,random_forest,baseline property features,0.5596291502587898,0.280042291457719,0.1913702200622177,0.5713636183205778,0.05647176881373438,0.2717578259373925,0.24792108581400663,0.2532920216886135,-0.021403203043158903,-0.005263058690463285,0.004581296253424266,1.0,1.0,1.0,-0.03265765550994657,0.004590168502225833,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
operating_controls,logistic,baseline property features + current price and minimum stay,0.7140797912762967,0.39930659174587885,0.1719564010768221,0.5115003731541984,0.03164762380194089,0.43550051599587203,0.2507735713042358,0.2532920216886135,0.13304743797434804,0.11400124159769659,-0.014832522731971332,5.0,5.0,4.0,0.10982289648868941,-0.014763246002739382,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
operating_controls,random_forest,baseline property features + current price and minimum stay,0.7125963852618846,0.41996572454591174,0.17001088737870393,0.5137137412552107,0.04129095284203515,0.46233230134158926,0.2513058791804073,0.2532920216886135,0.13156403195993593,0.1346603743977295,-0.016778036430089516,5.0,5.0,5.0,0.1107616206869982,-0.01682291506216041,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
extended_property_only,logistic,extended property features,0.6071155904086354,0.3098296254508319,0.18685328527475176,0.5574317624567976,0.03927332206236611,0.30959752321981426,0.25150893234850175,0.2532920216886135,0.026083237106686696,0.024524275302649667,6.436146595831249e-05,3.0,3.0,3.0,0.00411434992903863,0.000212742412428496,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
extended_property_only,random_forest,extended property features,0.6395887350672458,0.3499323114109318,0.18131594811274154,0.5442118654390103,0.016277351411440915,0.3735810113519092,0.24977928007466282,0.2532920216886135,0.058556381765297094,0.06462696126274953,-0.005472975696051902,5.0,5.0,5.0,0.03624474311534531,-0.005511673567532627,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
extended_property_only,hist_gradient_boosting,extended property features,0.6474905993968387,0.35934180119923254,0.1820982226408163,0.5459719018339895,0.034745195295857685,0.38183694530443757,0.2456292304195562,0.2532920216886135,0.06645824609489004,0.07403645105105028,-0.0046907011679771515,5.0,5.0,5.0,0.042747847321836965,-0.004668577080466673,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
extended_property_only,hist_gradient_boosting_sigmoid,extended property features,0.6367304864345102,0.3547847793002774,0.18165023281942172,0.545597233314479,0.021926007809820368,0.37770897832817335,0.24959609692065068,0.2532920216886135,0.055698133132561556,0.06947942915209515,-0.005138690989371725,5.0,5.0,4.0,0.042747847321836965,-0.005047361522637006,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
extended_operating_controls,hist_gradient_boosting,extended property features + current price and minimum stay,0.7492897557041605,0.4852800542537494,0.1623564327387642,0.4909901699203026,0.022209083899708628,0.4850361197110423,0.2520930566761593,0.2532920216886135,0.16825740240221176,0.19997470410556717,-0.024432491070029233,5.0,5.0,5.0,0.13907874081395982,-0.024445445128516746,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
extended_operating_controls,hist_gradient_boosting_sigmoid,extended property features + current price and minimum stay,0.7466750697555068,0.48403201835685294,0.16294006950122866,0.4936945673520848,0.030768129678683944,0.48297213622291024,0.24668437623433828,0.2532920216886135,0.1656427164535581,0.1987266682086707,-0.023848854307564782,5.0,5.0,5.0,0.13907874081395982,-0.023822990211051154,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
