rank,neighbourhood_cleansed,configuration,n,n_hosts,positive_n,observed_review_target_share,mean_oof_probability,median_oof_probability,conditional_bootstrap_lower_95,conditional_bootstrap_upper_95,fewer_than_10_positive_listings,fewer_than_10_hosts,scenario,model
1,Melbourne,3BR Apartment/unit,306,139,112,0.3660130718954248,0.35745628452797673,0.3469397247094406,0.34888596223990337,0.3676912546011172,False,False,segment_rate,segment_rate_baseline
2,Melbourne,2BR Apartment/unit,1235,482,405,0.32793522267206476,0.32676623069282906,0.32369597026740793,0.32174486987839607,0.33151265515406836,False,False,segment_rate,segment_rate_baseline
3,Yarra Ranges,3BR House/townhouse,90,77,27,0.3,0.2940672182979017,0.2933501881216449,0.2913766941922827,0.2968535303807942,False,False,segment_rate,segment_rate_baseline
4,Melbourne,1BR Apartment/unit,936,435,237,0.2532051282051282,0.25136807381414406,0.2594300857732478,0.2481522135019131,0.25476864289193896,False,False,segment_rate,segment_rate_baseline
5,Yarra,2BR House/townhouse,60,58,14,0.23333333333333334,0.24149083747738567,0.24912117332091724,0.23723758021378608,0.24545219974180751,False,False,segment_rate,segment_rate_baseline
6,Yarra Ranges,2BR House/townhouse,51,39,11,0.21568627450980393,0.22838790411351498,0.22944440260098917,0.21534148240089837,0.24088365414837,False,False,segment_rate,segment_rate_baseline
7,Yarra,1BR Apartment/unit,177,136,39,0.22033898305084745,0.22040550226684283,0.2292630240316357,0.2161924091981281,0.22402515574208803,False,False,segment_rate,segment_rate_baseline
8,Merri-bek,1BR Apartment/unit,54,48,9,0.16666666666666666,0.17793847741551663,0.191101152368758,0.167968365107244,0.1876065740546174,True,False,segment_rate,segment_rate_baseline
9,Port Phillip,2BR Apartment/unit,219,171,37,0.1689497716894977,0.16739117299215597,0.17680904326801536,0.15518100219540584,0.1768084917321851,False,False,segment_rate,segment_rate_baseline
10,Yarra,2BR Apartment/unit,102,81,15,0.14705882352941177,0.16065587608131113,0.15834342336109122,0.1570164352810765,0.16415240222327854,False,False,segment_rate,segment_rate_baseline
11,Port Phillip,3BR House/townhouse,56,43,7,0.125,0.15973718586762917,0.1565984992627414,0.14413308353872661,0.17228082672569686,True,False,segment_rate,segment_rate_baseline
12,Stonnington,1BR Apartment/unit,185,132,25,0.13513513513513514,0.1451067737819893,0.14387238525711246,0.14208622551089084,0.14843191294354885,False,False,segment_rate,segment_rate_baseline
13,Port Phillip,1BR Apartment/unit,305,249,35,0.11475409836065574,0.11965544210295499,0.12027627839579941,0.11853146148255216,0.12078701577288642,False,False,segment_rate,segment_rate_baseline
14,Stonnington,2BR Apartment/unit,97,77,8,0.08247422680412371,0.10288456945705991,0.1000984204878649,0.09919572512058103,0.10648206496415581,True,False,segment_rate,segment_rate_baseline
