probability_bin,n,positive_n,mean_predicted_probability,observed_review_target_share,absolute_calibration_gap,fewer_than_50_listings,fewer_than_10_positive_listings,scenario,model
"(-0.001, 0.1]",151,28,0.08530812986544192,0.18543046357615894,0.10012233371071702,False,False,property_only,logistic
"(0.1, 0.2]",1005,153,0.1487479526487742,0.15223880597014924,0.0034908533213750537,False,False,property_only,logistic
"(0.2, 0.3]",1548,458,0.25473793406267975,0.2958656330749354,0.04112769901225566,False,False,property_only,logistic
"(0.3, 0.4]",1025,310,0.33823888364926086,0.3024390243902439,0.035799859259016964,False,False,property_only,logistic
"(0.4, 0.5]",122,25,0.4259286985870022,0.20491803278688525,0.22101066580011697,False,False,property_only,logistic
"(0.5, 0.6]",14,3,0.5558700571339119,0.21428571428571427,0.3415843428481976,True,True,property_only,logistic
"(0.6, 0.7]",8,4,0.6280143706473444,0.5,0.12801437064734444,True,True,property_only,logistic
"(-0.001, 0.1]",188,34,0.08378322859080838,0.18085106382978725,0.09706783523897887,False,False,property_only,random_forest
"(0.1, 0.2]",1024,187,0.15112730535793165,0.1826171875,0.031489882142068354,False,False,property_only,random_forest
"(0.2, 0.3]",1597,469,0.2503043172883113,0.2936756418284283,0.043371324540116996,False,False,property_only,random_forest
"(0.3, 0.4]",818,223,0.34064233867097704,0.2726161369193154,0.06802620175166163,False,False,property_only,random_forest
"(0.4, 0.5]",208,60,0.43125028461011455,0.28846153846153844,0.14278874614857612,False,False,property_only,random_forest
"(0.5, 0.6]",33,5,0.5612404735498613,0.15151515151515152,0.4097253220347098,True,True,property_only,random_forest
"(0.6, 0.7]",5,3,0.6180670255423866,0.6,0.018067025542386594,True,True,property_only,random_forest
"(-0.001, 0.1]",697,40,0.04760522809527733,0.05738880918220947,0.009783581086932142,False,False,operating_controls,logistic
"(0.1, 0.2]",1002,149,0.15150714179701658,0.14870259481037923,0.0028045469866373463,False,False,operating_controls,logistic
"(0.2, 0.3]",825,241,0.24829138134279716,0.2921212121212121,0.04382983077841496,False,False,operating_controls,logistic
"(0.3, 0.4]",621,226,0.3479635032834218,0.3639291465378422,0.015965643254420403,False,False,operating_controls,logistic
"(0.4, 0.5]",412,197,0.4459486121577018,0.47815533980582525,0.032206727648123434,False,False,operating_controls,logistic
"(0.5, 0.6]",229,95,0.544652791972642,0.4148471615720524,0.12980563040058962,False,False,operating_controls,logistic
"(0.6, 0.7]",71,22,0.6361049164616188,0.30985915492957744,0.3262457615320414,False,False,operating_controls,logistic
"(0.7, 0.8]",16,11,0.7318468632494061,0.6875,0.044346863249406065,True,False,operating_controls,logistic
"(-0.001, 0.1]",611,51,0.06936254139523343,0.08346972176759411,0.014107180372360681,False,False,operating_controls,random_forest
"(0.1, 0.2]",1025,136,0.1478123708966856,0.1326829268292683,0.015129444067417314,False,False,operating_controls,random_forest
"(0.2, 0.3]",868,237,0.24927465726399747,0.2730414746543779,0.023766817390380418,False,False,operating_controls,random_forest
"(0.3, 0.4]",685,200,0.3479246306124101,0.291970802919708,0.055953827692702074,False,False,operating_controls,random_forest
"(0.4, 0.5]",510,282,0.44596664618945164,0.5529411764705883,0.10697453028113663,False,False,operating_controls,random_forest
"(0.5, 0.6]",142,65,0.5368187970002657,0.45774647887323944,0.07907231812702625,False,False,operating_controls,random_forest
"(0.6, 0.7]",25,6,0.6372833488457395,0.24,0.39728334884573946,True,True,operating_controls,random_forest
"(0.7, 0.8]",7,4,0.7310514539535735,0.5714285714285714,0.15962288252500212,True,True,operating_controls,random_forest
"(-0.001, 0.1]",1303,104,0.07267864102171315,0.07981580966999233,0.00713716864827918,False,False,all_review_histories,logistic
"(0.1, 0.2]",3012,546,0.15529554434673323,0.18127490039840638,0.025979356051673147,False,False,all_review_histories,logistic
"(0.2, 0.3]",2046,449,0.23782792493853938,0.21945259042033236,0.018375334518207026,False,False,all_review_histories,logistic
