neighbourhood_cleansed,configuration,n
Melbourne,1BR Apartment/unit,1782
Port Phillip,1BR Apartment/unit,614
Yarra,1BR Apartment/unit,314
Stonnington,1BR Apartment/unit,307
Moreland,1BR Apartment/unit,105
Whitehorse,1BR Apartment/unit,56
Darebin,1BR Apartment/unit,53
Melbourne,2BR Apartment/unit,2648
Port Phillip,2BR Apartment/unit,457
Yarra,2BR Apartment/unit,224
Stonnington,2BR Apartment/unit,193
Whitehorse,2BR Apartment/unit,98
Boroondara,2BR Apartment/unit,78
Moreland,2BR Apartment/unit,67
Monash,2BR Apartment/unit,66
Moonee Valley,2BR Apartment/unit,65
Glen Eira,2BR Apartment/unit,63
Maribyrnong,2BR Apartment/unit,58
Yarra,2BR House/townhouse,99
Yarra Ranges,2BR House/townhouse,87
Port Phillip,2BR House/townhouse,85
Moreland,2BR House/townhouse,51
Maribyrnong,2BR House/townhouse,50
Melbourne,3BR Apartment/unit,543
Port Phillip,3BR Apartment/unit,56
Yarra Ranges,3BR House/townhouse,137
Port Phillip,3BR House/townhouse,123
Yarra,3BR House/townhouse,87
Stonnington,3BR House/townhouse,66
Wyndham,3BR House/townhouse,62
Bayside,3BR House/townhouse,57
Monash,3BR House/townhouse,57
Casey,3BR House/townhouse,54
Maribyrnong,3BR House/townhouse,53
Moreland,3BR House/townhouse,52
