probability_bin,n,positive_n,mean_predicted_probability,observed_review_target_share,absolute_calibration_gap,fewer_than_50_listings,fewer_than_10_positive_listings,scenario,model
"(-0.001, 0.1]",362,40,0.07314956367173903,0.11049723756906077,0.03734767389732174,False,False,extended_property_only,logistic
"(0.1, 0.2]",1008,182,0.15115252319577158,0.18055555555555555,0.029403032359783976,False,False,extended_property_only,logistic
"(0.2, 0.3]",1201,339,0.2520003113144,0.28226477935054123,0.030264468036141245,False,False,extended_property_only,logistic
"(0.3, 0.4]",929,311,0.3439891370945722,0.33476856835306784,0.009220568741504342,False,False,extended_property_only,logistic
"(0.4, 0.5]",291,75,0.43926996850377975,0.25773195876288657,0.18153800974089318,False,False,extended_property_only,logistic
"(0.5, 0.6]",74,31,0.5382589533596585,0.4189189189189189,0.11934003444073954,False,False,extended_property_only,logistic
"(0.6, 0.7]",5,3,0.6464770076912479,0.6,0.04647700769124796,True,True,extended_property_only,logistic
"(0.7, 0.8]",3,0,0.7142729613723975,0.0,0.7142729613723975,True,True,extended_property_only,logistic
"(-0.001, 0.1]",317,32,0.07554584278687884,0.10094637223974763,0.02540052945286879,False,False,extended_property_only,random_forest
"(0.1, 0.2]",1038,172,0.1549540414714851,0.16570327552986513,0.010749234058380047,False,False,extended_property_only,random_forest
"(0.2, 0.3]",1292,331,0.24853741030695087,0.2561919504643963,0.007654540157445433,False,False,extended_property_only,random_forest
"(0.3, 0.4]",871,308,0.3445961146424195,0.35361653272101035,0.00902041807859083,False,False,extended_property_only,random_forest
"(0.4, 0.5]",304,121,0.43971040734035943,0.3980263157894737,0.04168409155088576,False,False,extended_property_only,random_forest
"(0.5, 0.6]",47,13,0.53290857534831,0.2765957446808511,0.25631283066745897,True,False,extended_property_only,random_forest
"(0.6, 0.7]",3,3,0.6438766481791581,1.0,0.35612335182084187,True,True,extended_property_only,random_forest
"(0.7, 0.8]",1,1,0.700977730821714,1.0,0.299022269178286,True,True,extended_property_only,random_forest
"(-0.001, 0.1]",492,55,0.07421762841273992,0.11178861788617886,0.03757098947343894,False,False,extended_property_only,hist_gradient_boosting
"(0.1, 0.2]",1226,221,0.15106273582979346,0.1802610114192496,0.029198275589456146,False,False,extended_property_only,hist_gradient_boosting
"(0.2, 0.3]",1004,275,0.24617424971180013,0.2739043824701195,0.02773013275831937,False,False,extended_property_only,hist_gradient_boosting
"(0.3, 0.4]",570,196,0.34604315184294593,0.34385964912280703,0.002183502720138897,False,False,extended_property_only,hist_gradient_boosting
"(0.4, 0.5]",366,145,0.4461694288053432,0.39617486338797814,0.04999456541736508,False,False,extended_property_only,hist_gradient_boosting
"(0.5, 0.6]",167,69,0.5417342622088213,0.41317365269461076,0.1285606095142105,False,False,extended_property_only,hist_gradient_boosting
"(0.6, 0.7]",38,14,0.6340747438576703,0.3684210526315789,0.26565369122609134,True,False,extended_property_only,hist_gradient_boosting
"(0.7, 0.8]",10,6,0.7338005849199568,0.6,0.13380058491995683,True,True,extended_property_only,hist_gradient_boosting
"(-0.001, 0.1]",6,0,0.09284788061063833,0.0,0.09284788061063833,True,True,extended_property_only,hist_gradient_boosting_sigmoid
"(0.1, 0.2]",926,122,0.16927156428390217,0.13174946004319654,0.03752210424070562,False,False,extended_property_only,hist_gradient_boosting_sigmoid
"(0.2, 0.3]",2087,536,0.2469110721400159,0.25682798275035934,0.009916910610343443,False,False,extended_property_only,hist_gradient_boosting_sigmoid
"(0.3, 0.4]",791,296,0.3378370471408194,0.37420986093552466,0.03637281379470525,False,False,extended_property_only,hist_gradient_boosting_sigmoid
"(0.4, 0.5]",63,27,0.42620024950034263,0.42857142857142855,0.002371179071085916,False,False,extended_property_only,hist_gradient_boosting_sigmoid
"(-0.001, 0.1]",952,64,0.05778992054901346,0.06722689075630252,0.009436970207289057,False,False,extended_operating_controls,hist_gradient_boosting
"(0.1, 0.2]",977,155,0.14574508943376044,0.1586489252814739,0.012903835847713457,False,False,extended_operating_controls,hist_gradient_boosting
"(0.2, 0.3]",617,176,0.24823978482482373,0.2852512155591572,0.037011430734333495,False,False,extended_operating_controls,hist_gradient_boosting
