rank,neighbourhood_cleansed,configuration,n,n_hosts,positive_n,observed_review_target_share,mean_oof_probability,median_oof_probability,conditional_bootstrap_lower_95,conditional_bootstrap_upper_95,fewer_than_10_positive_listings,fewer_than_10_hosts,scenario,model
1,Melbourne,3BR Apartment/unit,306,139,112,0.3660130718954248,0.3628430791050374,0.3573348200835703,0.3405637835331436,0.38424660680404843,False,False,extended_property_only,logistic
2,Melbourne,2BR Apartment/unit,1235,482,405,0.32793522267206476,0.316351409944377,0.3078752857752449,0.3058015852281426,0.3264050973383675,False,False,extended_property_only,logistic
3,Yarra Ranges,3BR House/townhouse,90,77,27,0.3,0.2849635105829432,0.2943829587890143,0.25857925423126765,0.31517755938930064,False,False,extended_property_only,logistic
4,Melbourne,1BR Apartment/unit,936,435,237,0.2532051282051282,0.26077161818515027,0.2557331568960026,0.252673858049272,0.26953484328527144,False,False,extended_property_only,logistic
5,Yarra Ranges,2BR House/townhouse,51,39,11,0.21568627450980393,0.2552330692864497,0.21788556602162115,0.2008122129029823,0.3217917982564705,False,False,extended_property_only,logistic
6,Yarra,2BR Apartment/unit,102,81,15,0.14705882352941177,0.22738969814622248,0.23022712020613642,0.21284964616989105,0.24293645818011747,False,False,extended_property_only,logistic
7,Yarra,2BR House/townhouse,60,58,14,0.23333333333333334,0.21667298094568094,0.20051427514924716,0.19710881317329837,0.2347175951212541,False,False,extended_property_only,logistic
8,Yarra,1BR Apartment/unit,177,136,39,0.22033898305084745,0.18448704091217868,0.16998013961523015,0.172466520894202,0.19708775523050198,False,False,extended_property_only,logistic
9,Merri-bek,1BR Apartment/unit,54,48,9,0.16666666666666666,0.17065792981132577,0.15033474914306333,0.14498594833664907,0.19868243713918346,True,False,extended_property_only,logistic
10,Port Phillip,3BR House/townhouse,56,43,7,0.125,0.15399584034256206,0.14498342802362868,0.13584712696371015,0.16820655300295825,True,False,extended_property_only,logistic
11,Port Phillip,2BR Apartment/unit,219,171,37,0.1689497716894977,0.1451043815845635,0.13647439741019768,0.13668966589214648,0.1523346531067061,False,False,extended_property_only,logistic
12,Stonnington,2BR Apartment/unit,97,77,8,0.08247422680412371,0.126318905775334,0.12757194999866223,0.11674732504962339,0.13589258635173188,True,False,extended_property_only,logistic
