neighbourhood_cleansed,configuration,n,n_hosts,observed_rate,nested_mean_predicted,baseline_mean_predicted,nested_gap,nested_rank
Melbourne,3BR Apartment/unit,306,139,0.3660130718954248,0.34446739371315926,0.35745628452797673,-0.02154567818226555,1
Melbourne,2BR Apartment/unit,1235,482,0.32793522267206476,0.31406928638168957,0.326766230692829,-0.013865936290375191,2
Yarra Ranges,3BR House/townhouse,90,77,0.3,0.27817097571449406,0.2940672182979017,-0.021829024285505927,3
Melbourne,1BR Apartment/unit,936,435,0.2532051282051282,0.2580340663624268,0.25136807381414406,0.004828938157298623,4
Yarra Ranges,2BR House/townhouse,51,39,0.21568627450980393,0.25129190912968474,0.22838790411351503,0.03560563461988081,5
Yarra,2BR House/townhouse,60,58,0.23333333333333334,0.22361594298885917,0.24149083747738567,-0.009717390344474164,6
Yarra,1BR Apartment/unit,177,136,0.22033898305084745,0.21499038117107044,0.22040550226684283,-0.00534860187977701,7
Merri-bek,1BR Apartment/unit,54,48,0.16666666666666666,0.20384982196490536,0.17793847741551663,0.03718315529823871,8
Yarra,2BR Apartment/unit,102,81,0.14705882352941177,0.1841081642839247,0.1606558760813111,0.03704934075451294,9
Port Phillip,3BR House/townhouse,56,43,0.125,0.1735143233447229,0.15973718586762917,0.04851432334472289,10
Port Phillip,2BR Apartment/unit,219,171,0.1689497716894977,0.14167986073974378,0.16739117299215597,-0.027269910949753923,11
Port Phillip,1BR Apartment/unit,305,249,0.11475409836065574,0.12717800336064078,0.11965544210295499,0.012423904999985039,12
Stonnington,1BR Apartment/unit,185,132,0.13513513513513514,0.12603714972069102,0.1451067737819893,-0.00909798541444412,13
Stonnington,2BR Apartment/unit,97,77,0.08247422680412371,0.10962233767111362,0.10288456945705991,0.027148110866989913,14
