neighbourhood_cleansed,configuration,n,n_hosts,median_reviews_365d,p75_reviews_365d,positive_n,observed_review_target_share,median_quoted_price,common_review_threshold
Melbourne,3BR Apartment/unit,306,139,21.0,35.0,112,0.3660130718954248,450.0,30
Melbourne,2BR Apartment/unit,1235,482,17.0,37.0,405,0.32793522267206476,285.0,30
Yarra Ranges,3BR House/townhouse,90,77,20.0,30.0,27,0.3,425.75,30
Melbourne,1BR Apartment/unit,936,435,16.0,30.0,237,0.2532051282051282,210.435,30
Yarra,2BR House/townhouse,60,58,14.5,28.25,14,0.23333333333333334,385.16499999999996,30
Yarra,1BR Apartment/unit,177,136,17.0,27.0,39,0.22033898305084745,237.71,30
Yarra Ranges,2BR House/townhouse,51,39,16.0,26.0,11,0.21568627450980393,340.5,30
Port Phillip,2BR Apartment/unit,219,171,11.0,23.0,37,0.1689497716894977,277.0,30
Merri-bek,1BR Apartment/unit,54,48,8.0,22.0,9,0.16666666666666666,204.5,30
Yarra,2BR Apartment/unit,102,81,12.0,25.0,15,0.14705882352941177,321.0,30
Stonnington,1BR Apartment/unit,185,132,11.0,20.0,25,0.13513513513513514,212.93,30
Port Phillip,3BR House/townhouse,56,43,7.0,18.0,7,0.125,515.5,30
Port Phillip,1BR Apartment/unit,305,249,10.0,19.0,35,0.11475409836065574,207.5,30
Stonnington,2BR Apartment/unit,97,77,9.0,17.0,8,0.08247422680412371,300.86,30
