rank,neighbourhood_cleansed,configuration,n,n_hosts,positive_n,observed_review_target_share,mean_oof_probability,median_oof_probability,conditional_bootstrap_lower_95,conditional_bootstrap_upper_95,fewer_than_10_positive_listings,fewer_than_10_hosts,scenario,model
1,Melbourne,3BR Apartment/unit,306,139,112,0.3660130718954248,0.3477505287183939,0.3450462099492639,0.3353468242373276,0.36256466739554155,False,False,property_only,logistic
2,Melbourne,2BR Apartment/unit,1235,482,405,0.32793522267206476,0.3150301718409424,0.31171100859264256,0.30443691286411356,0.3245311101118284,False,False,property_only,logistic
3,Yarra Ranges,3BR House/townhouse,90,77,27,0.3,0.2785244283109765,0.27604607449722474,0.266702047191257,0.2921777205647804,False,False,property_only,logistic
4,Melbourne,1BR Apartment/unit,936,435,237,0.2532051282051282,0.26132108191178405,0.25626076203045806,0.25480298103361904,0.26811636504670644,False,False,property_only,logistic
5,Yarra Ranges,2BR House/townhouse,51,39,11,0.21568627450980393,0.25740698071474744,0.25328911712567576,0.23500913629634196,0.2789348214658544,False,False,property_only,logistic
6,Yarra,2BR Apartment/unit,102,81,15,0.14705882352941177,0.22373473720115558,0.22634577289998364,0.2150170105475129,0.23372446901232374,False,False,property_only,logistic
7,Yarra,2BR House/townhouse,60,58,14,0.23333333333333334,0.21675501731633035,0.21482227834552967,0.204577287495243,0.22848249410202104,False,False,property_only,logistic
8,Yarra,1BR Apartment/unit,177,136,39,0.22033898305084745,0.18271377639468844,0.18275629166916277,0.1786757809301072,0.18647658530930006,False,False,property_only,logistic
9,Port Phillip,3BR House/townhouse,56,43,7,0.125,0.16789964330914997,0.1655291118016742,0.15238432082500938,0.17986676429782236,True,False,property_only,logistic
10,Merri-bek,1BR Apartment/unit,54,48,9,0.16666666666666666,0.1601532679251727,0.1575937212827047,0.14712205773150638,0.17187667244051272,True,False,property_only,logistic
11,Port Phillip,2BR Apartment/unit,219,171,37,0.1689497716894977,0.1498166882299628,0.15260023431444494,0.1403707355615205,0.15858220997919178,False,False,property_only,logistic
12,Stonnington,2BR Apartment/unit,97,77,8,0.08247422680412371,0.13535349945409422,0.13570440898981967,0.13046975015530332,0.14007918292138827,True,False,property_only,logistic
13,Port Phillip,1BR Apartment/unit,305,249,35,0.11475409836065574,0.12090088321079966,0.12389657779883013,0.11655279408793283,0.12494879795459883,False,False,property_only,logistic
14,Stonnington,1BR Apartment/unit,185,132,25,0.13513513513513514,0.11284016616915536,0.11302020204702126,0.10878376081935094,0.1165339566612646,False,False,property_only,logistic
1,Melbourne,3BR Apartment/unit,306,139,112,0.3660130718954248,0.35888923244753573,0.3622796980766282,0.3446039188906068,0.3750279564642953,False,False,property_only,random_forest
2,Melbourne,2BR Apartment/unit,1235,482,405,0.32793522267206476,0.3085344012317135,0.29913965016901584,0.29741433401745093,0.32122233798043914,False,False,property_only,random_forest
3,Yarra Ranges,3BR House/townhouse,90,77,27,0.3,0.2754580371187539,0.2620023778319681,0.26066215679215127,0.2926906866011988,False,False,property_only,random_forest
4,Melbourne,1BR Apartment/unit,936,435,237,0.2532051282051282,0.25299439068498875,0.25293159188311537,0.2472483807579684,0.258509480278065,False,False,property_only,random_forest
5,Yarra Ranges,2BR House/townhouse,51,39,11,0.21568627450980393,0.2390023655547752,0.23000243579544788,0.21686043101768887,0.2612992281089899,False,False,property_only,random_forest
6,Yarra,2BR House/townhouse,60,58,14,0.23333333333333334,0.23319045486627638,0.22391805015316113,0.21806522144015278,0.24683051538163792,False,False,property_only,random_forest
7,Yarra,1BR Apartment/unit,177,136,39,0.22033898305084745,0.21501357536630758,0.21699113010435128,0.20835999141439152,0.22136668802053683,False,False,property_only,random_forest
8,Merri-bek,1BR Apartment/unit,54,48,9,0.16666666666666666,0.16692143370573828,0.16755418958052903,0.15508429995342193,0.17828718024232904,True,False,property_only,random_forest
9,Port Phillip,2BR Apartment/unit,219,171,37,0.1689497716894977,0.16274407410902234,0.15413205660874757,0.14898610150309644,0.17631327560817944,False,False,property_only,random_forest
10,Port Phillip,3BR House/townhouse,56,43,7,0.125,0.16135299363054337,0.15264302706352553,0.13803881346006439,0.18109443814256193,True,False,property_only,random_forest
11,Yarra,2BR Apartment/unit,102,81,15,0.14705882352941177,0.15816565459399046,0.15552298893395966,0.15227137739968039,0.16418603721315042,False,False,property_only,random_forest
12,Stonnington,1BR Apartment/unit,185,132,25,0.13513513513513514,0.1407628056145783,0.13550159417625246,0.13486802126128472,0.14665061388525752,False,False,property_only,random_forest
13,Port Phillip,1BR Apartment/unit,305,249,35,0.11475409836065574,0.12015988397494164,0.1199952974205033,0.11528800042673647,0.12445837184035144,False,False,property_only,random_forest
14,Stonnington,2BR Apartment/unit,97,77,8,0.08247422680412371,0.11333085770777544,0.10315397426737938,0.10416460037419022,0.12433353869772865,True,False,property_only,random_forest
1,Melbourne,3BR Apartment/unit,306,139,112,0.3660130718954248,0.3516243792933834,0.3318740815954603,0.31574195852612247,0.39344584646981784,False,False,operating_controls,logistic
2,Melbourne,2BR Apartment/unit,1235,482,405,0.32793522267206476,0.3208821612529072,0.3154910481426769,0.3007210279114093,0.34408980226827557,False,False,operating_controls,logistic
3,Yarra Ranges,3BR House/townhouse,90,77,27,0.3,0.27655996063179245,0.25787914520303495,0.2532563073037696,0.30402341381838716,False,False,operating_controls,logistic
4,Melbourne,1BR Apartment/unit,936,435,237,0.2532051282051282,0.2571551568451142,0.22978908748262342,0.23180203649729383,0.28431699415265094,False,False,operating_controls,logistic
5,Yarra Ranges,2BR House/townhouse,51,39,11,0.21568627450980393,0.2504424080174049,0.23149078998297476,0.21762456328655816,0.2897877940991745,False,False,operating_controls,logistic
6,Yarra,2BR House/townhouse,60,58,14,0.23333333333333334,0.21371994772087904,0.188820122331799,0.1720853422608127,0.2623752377423733,False,False,operating_controls,logistic
7,Yarra,1BR Apartment/unit,177,136,39,0.22033898305084745,0.20188648067512557,0.1802073730527765,0.18034321375978923,0.22336504544584904,False,False,operating_controls,logistic
8,Yarra,2BR Apartment/unit,102,81,15,0.14705882352941177,0.19785538258576943,0.18814850454148363,0.17053684528299545,0.2284027710824713,False,False,operating_controls,logistic
9,Port Phillip,3BR House/townhouse,56,43,7,0.125,0.15990806899417612,0.1335091352601785,0.11360609488772148,0.19610907975741446,True,False,operating_controls,logistic
10,Merri-bek,1BR Apartment/unit,54,48,9,0.16666666666666666,0.15605755390531037,0.13950118375026535,0.1316321868004474,0.18266919864768613,True,False,operating_controls,logistic
11,Port Phillip,2BR Apartment/unit,219,171,37,0.1689497716894977,0.14554185524293808,0.12401056917718195,0.12718890066035166,0.163226724355501,False,False,operating_controls,logistic
12,Port Phillip,1BR Apartment/unit,305,249,35,0.11475409836065574,0.12265485653989493,0.10445639086869607,0.10892130607486496,0.1360845485123594,False,False,operating_controls,logistic
13,Stonnington,1BR Apartment/unit,185,132,25,0.13513513513513514,0.12066260297983318,0.10507504377774057,0.10287495766902242,0.13863321205591192,False,False,operating_controls,logistic
14,Stonnington,2BR Apartment/unit,97,77,8,0.08247422680412371,0.11621685095065909,0.09779898597356777,0.09514200209566653,0.13730079410147084,True,False,operating_controls,logistic
1,Melbourne,3BR Apartment/unit,306,139,112,0.3660130718954248,0.3473844819840388,0.32812389214117016,0.3270067405258962,0.36982066936200164,False,False,operating_controls,random_forest
2,Melbourne,2BR Apartment/unit,1235,482,405,0.32793522267206476,0.31911635632723967,0.3346273430783719,0.30011868258248897,0.33703194243772167,False,False,operating_controls,random_forest
3,Melbourne,1BR Apartment/unit,936,435,237,0.2532051282051282,0.25721889686360605,0.24763859274505126,0.24209616040236717,0.27185496033361284,False,False,operating_controls,random_forest
4,Yarra Ranges,3BR House/townhouse,90,77,27,0.3,0.2481916819913361,0.2390628466046269,0.22933235521243445,0.2712498078625696,False,False,operating_controls,random_forest
5,Yarra Ranges,2BR House/townhouse,51,39,11,0.21568627450980393,0.22673761314051366,0.19716859801324804,0.1963411454011078,0.26801232132901853,False,False,operating_controls,random_forest
6,Yarra,1BR Apartment/unit,177,136,39,0.22033898305084745,0.2135749545019805,0.19803158639243876,0.19701033706971408,0.2295989509334145,False,False,operating_controls,random_forest
7,Yarra,2BR House/townhouse,60,58,14,0.23333333333333334,0.1960323497657917,0.15712650145572474,0.1667098448784764,0.22930372163226007,False,False,operating_controls,random_forest
8,Merri-bek,1BR Apartment/unit,54,48,9,0.16666666666666666,0.17208116830455822,0.16870296988504896,0.1530412765918205,0.1918765519477956,True,False,operating_controls,random_forest
9,Port Phillip,2BR Apartment/unit,219,171,37,0.1689497716894977,0.16079904898593037,0.14547277445560677,0.14542557475264614,0.17630284899936804,False,False,operating_controls,random_forest
10,Yarra,2BR Apartment/unit,102,81,15,0.14705882352941177,0.1557768793484635,0.11255397634411966,0.136058941262882,0.18140329561867433,False,False,operating_controls,random_forest
11,Port Phillip,3BR House/townhouse,56,43,7,0.125,0.15279548461826295,0.13335634393802948,0.12180645569226865,0.17456535684051813,True,False,operating_controls,random_forest
12,Stonnington,1BR Apartment/unit,185,132,25,0.13513513513513514,0.1478914790035379,0.1363068481567679,0.13575293015426368,0.1597662714333696,False,False,operating_controls,random_forest
13,Port Phillip,1BR Apartment/unit,305,249,35,0.11475409836065574,0.13112817849671754,0.1093555157045004,0.12046684901342096,0.1429202671437509,False,False,operating_controls,random_forest
