neighbourhood_cleansed,configuration,n,hosts,observed_success_rate,mean_oof_probability,median_oof_probability
Melbourne,3BR Apartment/unit,543,249,0.39779005524861877,0.39051351560481995,0.3825673361139912
Yarra Ranges,2BR House/townhouse,87,71,0.3448275862068966,0.3564452126995167,0.3347462956999578
Yarra Ranges,3BR House/townhouse,137,116,0.35766423357664234,0.3345687977081928,0.32872163339785304
Melbourne,2BR Apartment/unit,2648,1049,0.3221299093655589,0.32332863520120525,0.3085863883638962
Yarra,1BR Apartment/unit,314,240,0.27070063694267515,0.2922479686915693,0.2770197820111767
Melbourne,1BR Apartment/unit,1782,812,0.2845117845117845,0.2879367770416912,0.2671055727894206
Yarra,2BR Apartment/unit,224,172,0.27232142857142855,0.2651414049210005,0.2565123813623944
Yarra,2BR House/townhouse,99,93,0.32323232323232326,0.25383504781733446,0.24180949183119993
Port Phillip,3BR Apartment/unit,56,43,0.19642857142857142,0.2520682578318549,0.20629101604124617
Moreland,2BR House/townhouse,51,50,0.23529411764705882,0.20718824013218157,0.18460700325360574
Yarra,3BR House/townhouse,87,76,0.20689655172413793,0.19962092172394383,0.20052325192689904
Moonee Valley,2BR Apartment/unit,65,48,0.16923076923076924,0.19558916193565898,0.19482328153663309
Moreland,2BR Apartment/unit,67,65,0.22388059701492538,0.1909855606029823,0.18959597521563867
Moreland,1BR Apartment/unit,105,93,0.19047619047619047,0.19058293395658452,0.19313251195080489
Moreland,3BR House/townhouse,52,50,0.1346153846153846,0.18952381020915254,0.18277563055912752
Glen Eira,2BR Apartment/unit,63,43,0.1746031746031746,0.1868126441145288,0.16642712920579877
Port Phillip,2BR Apartment/unit,457,325,0.1838074398249453,0.1760759906414467,0.16098018046537396
Maribyrnong,3BR House/townhouse,53,39,0.22641509433962265,0.17594213434685346,0.16533120919308233
Maribyrnong,2BR Apartment/unit,58,48,0.22413793103448276,0.17379302981666686,0.18442466288336679
Maribyrnong,2BR House/townhouse,50,47,0.08,0.1699473394696006,0.1567292648612057
Stonnington,1BR Apartment/unit,307,223,0.1791530944625407,0.16778059589585312,0.16320641445885023
Boroondara,2BR Apartment/unit,78,65,0.16666666666666666,0.1642819811701069,0.14121732907608833
Port Phillip,1BR Apartment/unit,614,480,0.15960912052117263,0.15993770260578194,0.14924677597352592
Stonnington,2BR Apartment/unit,193,153,0.11917098445595854,0.13995428386977188,0.12845423592845656
Port Phillip,2BR House/townhouse,85,81,0.10588235294117647,0.12860182683538662,0.10741548897910475
Port Phillip,3BR House/townhouse,123,95,0.13821138211382114,0.12160252748724515,0.09339815297898298
Wyndham,3BR House/townhouse,62,56,0.11290322580645161,0.11890929090673572,0.10095477213104082
Darebin,1BR Apartment/unit,53,51,0.11320754716981132,0.11216762594097172,0.08346418745566878
Whitehorse,2BR Apartment/unit,98,67,0.08163265306122448,0.11122262007508472,0.09700208999686999
Monash,2BR Apartment/unit,66,49,0.10606060606060606,0.09913380505175583,0.09341477218469393
Stonnington,3BR House/townhouse,66,56,0.10606060606060606,0.09058032549319119,0.07146246198032499
Bayside,3BR House/townhouse,57,47,0.017543859649122806,0.08934566849522832,0.07505430243835191
Casey,3BR House/townhouse,54,48,0.07407407407407407,0.08843673884823351,0.07673798896589604
Whitehorse,1BR Apartment/unit,56,33,0.125,0.07800426852736612,0.06913288375733068
Monash,3BR House/townhouse,57,43,0.03508771929824561,0.05358021210853854,0.036106769863029874
