property_type,n
Entire rental unit,10868
Entire home,2965
Entire condo,625
Entire townhouse,437
Entire serviced apartment,408
Entire guesthouse,366
Entire guest suite,227
Entire cottage,146
Entire loft,106
Entire cabin,87
Tiny home,80
Farm stay,52
Entire bungalow,39
Room in aparthotel,35
Entire villa,32
Entire vacation home,25
Camper/RV,16
Entire place,14
Barn,11
Dome,9
Earthen home,5
Yurt,3
Tent,2
Hut,2
Bus,2
Casa particular,2
Tower,2
Entire chalet,2
Castle,1
Tipi,1
Floor,1
Religious building,1
Train,1
Entire bed and breakfast,1
Boat,1
Entire home/apt,1
