repeat,scenario,model,roc_auc,average_precision,brier_score
1,segment_rate,segment_rate_baseline,0.5836329401,0.2868935532,0.1860889825
1,property_only,logistic,0.5953602542,0.3061580917,0.1860186452
1,extended_property_only,random_forest,0.6337391771,0.3365679371,0.182943732
2,segment_rate,segment_rate_baseline,0.5919147763,0.2947692161,0.1858040392
2,property_only,logistic,0.583417047,0.2927871207,0.1879090667
2,extended_property_only,random_forest,0.6140967807,0.3237474994,0.1854935804
3,segment_rate,segment_rate_baseline,0.591180916,0.2965685929,0.1854364513
3,property_only,logistic,0.6058493112,0.3205908036,0.1849487828
3,extended_property_only,random_forest,0.6456642317,0.3512637798,0.1805963313
4,segment_rate,segment_rate_baseline,0.5919882681,0.2915689356,0.1855391938
4,property_only,logistic,0.5984287563,0.3061243271,0.1862662785
4,extended_property_only,random_forest,0.6143019233,0.3231648977,0.1851578457
5,segment_rate,segment_rate_baseline,0.5792299542,0.2855161249,0.1868272717
5,property_only,logistic,0.5891719644,0.3001820515,0.1874194522
5,extended_property_only,random_forest,0.5938167506,0.3060785684,0.1882064692
6,segment_rate,segment_rate_baseline,0.5868186413,0.2939522325,0.1860489709
6,property_only,logistic,0.5915244063,0.304306007,0.1863174259
6,extended_property_only,random_forest,0.6244700485,0.3224918765,0.1841035218
7,segment_rate,segment_rate_baseline,0.5697595603,0.2797300331,0.1886891508
7,property_only,logistic,0.5867116641,0.2961572432,0.188024246
7,extended_property_only,random_forest,0.619172472,0.328887219,0.18498935
8,segment_rate,segment_rate_baseline,0.5687223921,0.2777628922,0.1879268847
8,property_only,logistic,0.5804313774,0.2918761456,0.1875837143
8,extended_property_only,random_forest,0.6327478312,0.3398085164,0.1825847296
9,segment_rate,segment_rate_baseline,0.5915635314,0.2976368615,0.1852554572
9,property_only,logistic,0.6003198038,0.3205316911,0.1853695767
9,extended_property_only,random_forest,0.6314404882,0.3570187148,0.1819761733
10,segment_rate,segment_rate_baseline,0.5699338609,0.2803323538,0.1881597226
10,property_only,logistic,0.5761829533,0.2888995193,0.1886114223
10,extended_property_only,random_forest,0.5893369244,0.2969724052,0.1897136625
11,segment_rate,segment_rate_baseline,0.5825041275,0.2908394658,0.1867293408
11,property_only,logistic,0.5960003553,0.3124717736,0.185887761
11,extended_property_only,random_forest,0.6159955827,0.3358158554,0.1844687479
12,segment_rate,segment_rate_baseline,0.5896127389,0.294490574,0.18588853
12,property_only,logistic,0.5835791871,0.2963792168,0.1877734087
12,extended_property_only,random_forest,0.6083688279,0.3104886505,0.1872327927
13,segment_rate,segment_rate_baseline,0.5886691538,0.2974195072,0.1857601917
13,property_only,logistic,0.604261924,0.3169276164,0.1852674661
13,extended_property_only,random_forest,0.6117848739,0.3156526109,0.185952488
14,segment_rate,segment_rate_baseline,0.5944073285,0.3023361799,0.1847854326
14,property_only,logistic,0.6021144484,0.3136463378,0.1854262666
14,extended_property_only,random_forest,0.638266588,0.3457233354,0.181824641
15,segment_rate,segment_rate_baseline,0.5845102592,0.2916554526,0.1860558979
15,property_only,logistic,0.5966459198,0.3119024965,0.1859413043
15,extended_property_only,random_forest,0.6410543409,0.3521566647,0.1811055023
16,segment_rate,segment_rate_baseline,0.589215143,0.2918534436,0.1858655391
16,property_only,logistic,0.6008620921,0.3182696913,0.1853778517
16,extended_property_only,random_forest,0.6478286263,0.3625920799,0.1799221352
17,segment_rate,segment_rate_baseline,0.5915570106,0.299699748,0.1850925251
17,property_only,logistic,0.6101610052,0.3168546639,0.1845777837
17,extended_property_only,random_forest,0.6335269851,0.3465011983,0.1822799383
18,segment_rate,segment_rate_baseline,0.5828291128,0.2875105734,0.1867921845
18,property_only,logistic,0.5794994241,0.2933043894,0.1882252735
18,extended_property_only,random_forest,0.6429282932,0.3514185958,0.1809468143
19,segment_rate,segment_rate_baseline,0.5925291465,0.3020255478,0.1853386824
19,property_only,logistic,0.6008777774,0.3147683661,0.1851122382
19,extended_property_only,random_forest,0.6419630306,0.3577386162,0.1806372456
20,segment_rate,segment_rate_baseline,0.5935675483,0.2980174079,0.1852247652
20,property_only,logistic,0.595479392,0.3081199299,0.1860620087
20,extended_property_only,random_forest,0.6321690614,0.3314655898,0.1832277078
