lga,dwelling_class,bedrooms,n_listings,n_hosts,n_meeting_target,n_zero_reviews,reviews_p25,reviews_median,reviews_p75,reviews_p90,observed_target_rate,ci90_lo,ci90_hi,scope,review_target,interval_method,rank_observed_rate,rank_within_bedrooms
Melbourne,Apartment/unit,1,936,435,237,67,6,16,30,45,0.253205128205128,0.208677970118726,0.300471611721612,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",4,1
Yarra,Apartment/unit,1,177,136,39,11,9,17,27,42.4,0.220338983050847,0.16759625547335,0.277111707700367,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",6,2
Merri-bek,Apartment/unit,1,54,48,9,5,4,8,22,38.1,0.166666666666667,0.0847457627118644,0.254901960784314,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",9,3
Stonnington,Apartment/unit,1,185,132,25,15,5,11,20,33.6,0.135135135135135,0.094434264107039,0.182410225197809,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",11,4
Port Phillip,Apartment/unit,1,305,249,35,45,3,10,19,31.6,0.114754098360656,0.0833189158016148,0.145715790831685,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",13,5
Melbourne,Apartment/unit,2,1235,482,405,111,5,17,37,55,0.327935222672065,0.268575647871602,0.396141294809355,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",2,1
Yarra,House/townhouse,2,60,58,14,7,2.75,14.5,28.25,40.3,0.233333333333333,0.135593220338983,0.327868852459016,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",5,2
Yarra Ranges,House/townhouse,2,51,39,11,1,8,16,26,47,0.215686274509804,0.12280701754386,0.32562885619364,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",7,3
Port Phillip,Apartment/unit,2,219,171,37,25,3,11,23,39.4,0.168949771689498,0.0818033596837945,0.271274984857662,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",8,4
Yarra,Apartment/unit,2,102,81,15,8,5,12,25,37.5,0.147058823529412,0.089276874115983,0.212153449387492,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",10,5
Stonnington,Apartment/unit,2,97,77,8,17,2,9,17,28,0.0824742268041237,0.0326086956521739,0.138297872340426,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",14,6
Melbourne,Apartment/unit,3,306,139,112,11,9,21,35,66.5,0.366013071895425,0.273021141322202,0.457432197140399,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",1,1
Yarra Ranges,House/townhouse,3,90,77,27,3,6.25,20,30,41.2,0.3,0.218732040229885,0.390271937202131,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",3,2
Port Phillip,House/townhouse,3,56,43,7,8,1,7,18,30,0.125,0.0566037735849057,0.204104823747681,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",12,3
