lga,dwelling_class,bedrooms,n_listings,n_hosts,n_meeting_target,n_zero_reviews,reviews_p25,reviews_median,reviews_p75,reviews_p90,observed_target_rate,ci90_lo,ci90_hi,scope,review_target,interval_method,rank_observed_rate
Melbourne,Apartment/unit,1,1474,647,271,213,3,11,25,40,0.183853459972863,0.150080425317502,0.218941576784797,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",6
Yarra,Apartment/unit,1,248,191,43,27,4.75,14,23,39,0.173387096774194,0.131342442709325,0.217826388888889,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",7
Merri-bek,Apartment/unit,1,75,68,10,14,3,7,17.5,32.6,0.133333333333333,0.0666666666666667,0.205954088952654,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",10
Stonnington,Apartment/unit,1,254,180,26,33,3,8,18,29.7,0.102362204724409,0.0725075876023177,0.136420454545454,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",13
Port Phillip,Apartment/unit,1,477,386,40,108,1,6,16,27,0.0838574423480084,0.0639982942430704,0.107668553219615,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",16
Melbourne,Apartment/unit,2,2154,841,477,286,3,11,27,45,0.221448467966574,0.183681530166111,0.265184893241326,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",3
Yarra,House/townhouse,2,80,77,17,10,3,11.5,26.25,39.1,0.2125,0.139240506329114,0.292754662840746,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",4
Yarra Ranges,House/townhouse,2,67,51,14,3,6,14,24.5,41,0.208955223880597,0.12695675971538,0.303647094430993,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",5
Merri-bek,Apartment/unit,2,52,50,7,10,1,9.5,20.5,30.9,0.134615384615385,0.0588235294117647,0.215686274509804,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",9
Yarra,Apartment/unit,2,161,123,18,22,3,10,22,30,0.111801242236025,0.0693442296192944,0.157004619305511,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",11
Port Phillip,Apartment/unit,2,360,261,40,82,1,6,18,32.1,0.111111111111111,0.0542087267990882,0.180958815958816,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",12
Boroondara,Apartment/unit,2,55,50,5,12,1,8,18.5,27.6,0.0909090909090909,0.0185185185185185,0.173076923076923,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",14
Glen Eira,Apartment/unit,2,55,36,5,7,4,11,14,28,0.0909090909090909,0.03125,0.184210526315789,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",14
Port Phillip,House/townhouse,2,75,71,5,22,0,3,10.5,19,0.0666666666666667,0.0266666666666667,0.116883116883117,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",19
Stonnington,Apartment/unit,2,142,110,8,27,2,7,14.75,22.9,0.0563380281690141,0.0215827338129496,0.0949078901633646,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",20
Whitehorse,Apartment/unit,2,71,50,1,13,1,3,10.5,19,0.0140845070422535,0,0.0454545454545455,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",22
Melbourne,Apartment/unit,3,468,207,131,42,4,15,31,53.3,0.27991452991453,0.207186841784602,0.350219189412738,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",1
Yarra Ranges,House/townhouse,3,117,96,27,10,4,12,29,40,0.230769230769231,0.1640625,0.312527173913044,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",2
Yarra,House/townhouse,3,76,65,11,15,1.75,8,20,34,0.144736842105263,0.0789473684210526,0.222222222222222,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",8
Stonnington,House/townhouse,3,61,51,5,13,1,3,11,22,0.0819672131147541,0.03125,0.145534759358289,"All-review-history standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",17
