lga,dwelling_class,bedrooms,n_listings,n_hosts,n_at_least_22,n_zero_reviews,reviews_p25,reviews_median,reviews_p75,reviews_p90,observed_rate_22,ci90_lo,ci90_hi,scope,review_threshold,interval_method,rank_observed_rate
Melbourne,Apartment/unit,1,1110,531,410,88,6,15,30,45.1,0.369369369369369,0.319304956005805,0.421773186899471,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",5
Yarra,Apartment/unit,1,226,174,76,16,8,16,26.75,40,0.336283185840708,0.278214931066792,0.396404162783473,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",8
Merri-bek,Apartment/unit,1,77,66,18,8,4,8,19,40.2,0.233766233766234,0.150650684931507,0.324324324324324,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",10
Stonnington,Apartment/unit,1,224,161,49,18,4,11,19,32,0.21875,0.172551498475496,0.270493783163063,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",12
Port Phillip,Apartment/unit,1,393,310,81,61,3,9,19,30.8,0.206106870229008,0.168643337923014,0.248093469702504,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",13
Melbourne,Apartment/unit,2,1477,571,647,133,5,17,37,57,0.438050101557211,0.37135181717593,0.496827283435057,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",3
Yarra Ranges,House/townhouse,2,63,51,25,3,8,17,32.5,47,0.396825396825397,0.289393939393939,0.525423728813559,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",4
Yarra,House/townhouse,2,73,69,26,9,3,13,28,39.8,0.356164383561644,0.263013698630137,0.445945945945946,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",6
Yarra,Apartment/unit,2,148,118,51,12,4.75,14,25.25,38.3,0.344594594594595,0.27330303030303,0.417293288656746,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",7
Port Phillip,Apartment/unit,2,272,205,69,43,2,10,22,36,0.253676470588235,0.175082249849736,0.339268286820028,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",9
Stonnington,Apartment/unit,2,130,106,20,23,2,9,17,28,0.153846153846154,0.103434592227696,0.207421652421652,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",14
Port Phillip,House/townhouse,2,53,52,8,12,1,5,14,30.6,0.150943396226415,0.0754716981132076,0.240740740740741,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",15
Whitehorse,Apartment/unit,2,50,33,6,7,1.25,6,14.75,22.1,0.12,0.0491406663141195,0.203703703703704,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",16
Melbourne,Apartment/unit,3,348,161,175,14,8.75,22,36,68.6,0.502873563218391,0.422846882399369,0.589200762475322,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",1
Yarra Ranges,House/townhouse,3,101,88,48,5,7,21,33,43,0.475247524752475,0.388813813813814,0.567025178429818,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",2
Port Phillip,House/townhouse,3,67,53,15,11,1,6,18,29.4,0.223880597014925,0.140625,0.315822784810127,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50; first review on/before 2025-06-01",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",11
