lga,dwelling_class,bedrooms,n_listings,n_hosts,n_meeting_target,n_zero_reviews,reviews_p25,reviews_median,reviews_p75,reviews_p90,observed_target_rate,ci90_lo,ci90_hi,scope,review_target,interval_method,rank_observed_rate
Melbourne,Apartment/unit,1,1235,655,238,308,1,10,25,40,0.192712550607287,0.159411058801809,0.233417134217155,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",5
Yarra,Apartment/unit,1,328,278,43,143,0,4,19,32.3,0.13109756097561,0.0984615384615385,0.168225782524848,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",6
Merri-bek,Apartment/unit,1,83,77,9,29,0,4,13,31,0.108433734939759,0.0506329113924051,0.172918461096756,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",10
Stonnington,Apartment/unit,1,284,220,24,95,0,5.5,15,26.7,0.0845070422535211,0.0569258600237248,0.113023391057121,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",14
Darebin,Apartment/unit,1,50,49,4,28,0,0,10.75,20.5,0.08,0.02,0.142857142857143,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",15
Port Phillip,Apartment/unit,1,473,405,34,190,0,3,14,25,0.0718816067653277,0.052059811827957,0.0925548295117025,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",19
Melbourne,Apartment/unit,2,1578,700,406,375,1,11,30,48,0.257287705956907,0.204065948533812,0.310111857351075,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",3
Yarra Ranges,House/townhouse,2,54,42,11,4,8,15,24.75,43.4,0.203703703703704,0.115353089533417,0.307783882783883,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",4
Yarra,House/townhouse,2,113,110,14,54,0,1,17,33.8,0.123893805309735,0.0714285714285714,0.181034482758621,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",8
Port Phillip,Apartment/unit,2,343,290,38,129,0,4,17,32.8,0.110787172011662,0.0534064165651191,0.181345257452575,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",9
Merri-bek,Apartment/unit,2,62,60,6,29,0,1,14,28.9,0.0967741935483871,0.0333333333333333,0.161290322580645,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",11
Yarra,Apartment/unit,2,162,140,15,59,0,4,18,28.9,0.0925925925925926,0.05625,0.133757961783439,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",13
Glen Eira,Apartment/unit,2,52,37,4,11,3,8.5,14,27.8,0.0769230769230769,0.0195889894419306,0.159090909090909,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",16
Stonnington,Apartment/unit,2,137,117,10,49,0,4,14,22.4,0.072992700729927,0.0364963503649635,0.116455854414559,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",17
Port Phillip,House/townhouse,2,69,67,5,31,0,1,9,19.6,0.072463768115942,0.0289855072463768,0.130530690537084,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",18
Melbourne,Apartment/unit,3,377,168,115,58,4,16,32,63,0.305039787798409,0.225619913703643,0.394092265650282,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",1
Yarra Ranges,House/townhouse,3,102,88,28,11,5,15,30,40,0.274509803921569,0.2,0.353535353535354,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",2
Yarra,House/townhouse,3,62,57,8,25,0,3.5,20,34.8,0.129032258064516,0.0634920634920635,0.2,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",7
Port Phillip,House/townhouse,3,83,70,8,29,0,3,13,28.4,0.0963855421686747,0.0449188514357054,0.153846153846154,"Established standard entire homes, 1-3 bedrooms; no price restriction; non-benchmark hosts; final segment n>=50",30,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",12
