lga,broad_class,bedrooms,n_listings,n_hosts,n_meeting_target,n_zero_reviews,observed_target_rate,reviews_p75,stage,eligible_n50,rank_observed_rate,review_target,broad_class_definition,shared_scope
Kingston,Other entire-home types,1,1,1,1,0,1,33,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Manningham,Apartment-like,1,1,1,1,0,1,55,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maroondah,Apartment-like,1,1,1,1,0,1,51,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melton,Other entire-home types,1,1,1,1,0,1,43,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Darebin,Apartment-like,3,5,3,3,0,0.6,34,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Cardinia,Other entire-home types,2,2,2,1,0,0.5,41.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hobsons Bay,Other entire-home types,1,2,2,1,0,0.5,36,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Knox,Other entire-home types,1,2,2,1,1,0.5,22.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra,Other entire-home types,1,15,14,7,1,0.466666666666667,39.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melbourne,Apartment-like,3,306,139,112,11,0.366013071895425,35,After four-type whitelist,TRUE,1,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra Ranges,Other entire-home types,1,22,18,8,3,0.363636363636364,39.75,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Brimbank,Other entire-home types,1,3,2,1,0,0.333333333333333,30,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Cardinia,Apartment-like,2,3,3,1,0,0.333333333333333,34,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Nillumbik,Other entire-home types,1,3,3,1,0,0.333333333333333,36.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Nillumbik,Other entire-home types,2,3,2,1,0,0.333333333333333,38,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Wyndham,Other entire-home types,2,3,3,1,1,0.333333333333333,24,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
